topology,k,mean_std_avg,mean_std_err,final_std_avg,time_sync_avg,sync_fraction
small_world,0.1026,0.05000254848016021,0.001085209330360798,0.05200007608874372,1.9,0.5
small_world,0.1538,0.04316272210401927,0.0008575489873397112,0.04219088406303405,0.1,0.85
small_world,0.2051,0.03937770678138576,0.0008934357172647675,0.039712831566243986,0.25,0.9
small_world,0.2564,0.5982940441415548,0.010066935706560988,0.6018061001573358,300.0,0.0
small_world,0.3077,0.873787560289775,0.02031384800651262,0.8733130635168619,300.0,0.0
small_world,0.359,0.9031574989250679,0.017388548329237273,0.9035152264633014,300.0,0.0
small_world,0.4103,0.9328420056538886,0.01955931022814795,0.9327574494894975,300.0,0.0
small_world,0.4615,0.9962251914045396,0.005946884541759281,0.996225192698644,300.0,0.0
small_world,0.5128,0.997744346697979,0.0024937185533098986,0.997744346697979,300.0,0.0
small_world,0.5641,0.9952226801199681,0.005640653758887681,0.9952226801199681,300.0,0.0
small_world,0.6154,0.9959745645539752,0.0058878486325375685,0.9959745645539752,300.0,0.0
small_world,0.6667,0.996992462263972,0.002455644278477993,0.996992462263972,300.0,0.0
small_world,0.7179,0.9967341415536424,0.004588143559575309,0.9967341415536424,300.0,0.0
small_world,0.7692,0.9987468592766551,0.002170503401867131,0.9987468592766551,300.0,0.0
small_world,0.8205,0.994972051975299,0.005533153536882249,0.994972051975299,300.0,0.0
small_world,0.8718,0.9974114474454577,0.0031654190967725006,0.997744346697979,300.0,0.0
small_world,0.9231,0.9932022698312952,0.0070179200596070255,0.9932022698312952,300.0,0.0
small_world,0.9744,0.993452897975964,0.007165158976492826,0.993452897975964,300.0,0.0
small_world,1.0256,0.9952226801199681,0.005640653758887681,0.9952226801199681,300.0,0.0
small_world,1.0769,0.9946817297691588,0.010404636631526168,0.9946817297691588,300.0,0.0
small_world,1.1282,0.9969847696983114,0.004622660446614244,0.9969847696983114,300.0,0.0
small_world,1.1795,0.9962251926986442,0.005946884272408019,0.9962251926986442,300.0,0.0
small_world,1.2308,0.9957316289749665,0.004303842336748589,0.9957316289749665,300.0,0.0
small_world,1.2821,0.9954733082646371,0.005735201187298873,0.9954733082646371,300.0,0.0
small_world,1.3333,0.9954733082646371,0.005735201187298877,0.9954733082646371,300.0,0.0
small_world,1.3846,0.9952226801199681,0.005640653758887682,0.9952226801199681,300.0,0.0
small_world,1.4359,0.9949720519752991,0.0055331535368822495,0.994972051975299,300.0,0.0
small_world,1.4872,0.9952149875543077,0.006865023472591268,0.9952149875543077,300.0,0.0
small_world,1.5385,0.9954733082646371,0.005735201187298876,0.9954733082646369,300.0,0.0
small_world,1.5897,0.9939618468309626,0.006312451535016057,0.9939618468309626,300.0,0.0
small_world,1.641,0.9949643594096388,0.006776688318594082,0.9949643594096387,300.0,0.0
small_world,1.6923,0.9939695393966229,0.0049552751351406655,0.993969539396623,300.0,0.0
small_world,1.7436,0.9959822571196355,0.0043981249273083315,0.9959822571196355,300.0,0.0
small_world,1.7949,0.9944311016244898,0.010333640302603548,0.9944311016244898,300.0,0.0
small_world,1.8462,0.9942047824099711,0.0075399358844592795,0.9942047824099711,300.0,0.0
small_world,1.8974,0.9942124749756316,0.006446285971704018,0.9942124749756316,300.0,0.0
small_world,1.9487,0.9959822571196355,0.0043981249273083245,0.9959822571196355,300.0,0.0
small_world,2.0,0.9944554105546402,0.00764437169438641,0.9944554105546402,300.0,0.0
